task,feature_set,method,fold,n_train,n_test,input_features,selected_features,silhouette,davies_bouldin,calinski_harabasz,centroid_ratio,mean_centroid_distance,mean_within_scatter,nearest_centroid_balanced_accuracy,nearest_centroid_macro_f1,binary_auc,auc_ovr_3class,runtime_sec,status
binary_acl_vs_ha,pca_slim_subject,pca,5,64,15,264,160,0.04050225643505448,4.080735679624264,0.6148075555996839,0.5220864642416829,1.2913541267434299,2.4734487775297684,0.6,0.5833333333333333,0.5,,0.029,ok
binary_acl_vs_ha,pca_slim_subject,lda,1,63,16,264,160,0.10972557504561253,1.4918886255211046,2.3881015146462743,1.2576949349583604,1.5098833857385923,1.2005163921476565,0.6090909090909091,0.6135265700483092,0.7454545454545455,,0.006,ok
binary_acl_vs_ha,pca_slim_subject,lda,2,63,16,264,160,0.17623878628344258,1.1560620654284497,5.612360994624936,1.6922136428827779,2.2905750963916205,1.3535968735540398,0.7545454545454545,0.7681159420289855,0.8545454545454545,,0.011,ok
binary_acl_vs_ha,pca_slim_subject,lda,3,63,16,264,160,0.5539135951947065,0.46334154014264217,29.49690956891611,3.770494424324707,4.268663752421729,1.1321230777807723,0.9545454545454546,0.9307359307359306,1.0,,0.017,ok
binary_acl_vs_ha,pca_slim_subject,lda,4,63,16,264,160,0.29282845666668406,0.9666260272860454,11.845844973092337,2.2413711124907074,2.4570077964544628,1.0962074878015764,0.7181818181818183,0.6761133603238867,0.9090909090909091,,0.022,ok
binary_acl_vs_ha,pca_slim_subject,lda,5,64,15,264,160,0.5224165511810525,0.4269392585220536,23.353628998945823,3.8691496619090886,3.294258760780681,0.8514167320049467,1.0,1.0,1.0,,0.027,ok
binary_acl_vs_ha,pca_slim_subject,plsda,1,63,16,264,160,0.11221267432954214,1.254930856226438,3.534802488139405,1.4271151850827524,5.773845329289941,4.0458159156614535,0.7636363636363637,0.7333333333333334,0.8181818181818182,,0.005,ok
binary_acl_vs_ha,pca_slim_subject,plsda,2,63,16,264,160,0.10852956239557755,1.4349115925219391,3.841002853901437,1.2855753048356238,2.6538658216506326,2.064341008782804,0.6090909090909091,0.6135265700483092,0.8363636363636364,,0.011,ok
binary_acl_vs_ha,pca_slim_subject,plsda,3,63,16,264,160,0.21195085788617946,1.0356430881098064,7.962356719090347,1.8029044753955106,4.198765619753586,2.3288896761058213,0.7636363636363637,0.7333333333333334,0.890909090909091,,0.016,ok
binary_acl_vs_ha,pca_slim_subject,plsda,4,63,16,264,160,0.13282368012070048,1.5816121288417793,4.015203415749735,1.2730986076463968,2.952618748119058,2.3192380624605535,0.6636363636363636,0.6536796536796536,0.8909090909090909,,0.021,ok
binary_acl_vs_ha,pca_slim_subject,plsda,5,64,15,264,160,0.27531887763150337,1.005009067349361,8.494726313129183,1.8931576623066717,4.136123742454281,2.1847751113421383,0.9,0.9206349206349206,0.92,,0.026,ok
binary_acl_vs_ha,pca_slim_subject,nca,1,63,16,264,160,-0.21224857872322497,2.18565052135705,0.5606609616886253,0.7730513042430451,13.640313693388158,17.644771593451296,0.4636363636363636,0.45893719806763283,0.509090909090909,,0.01,ok
binary_acl_vs_ha,pca_slim_subject,nca,2,63,16,264,160,0.0430141022429401,1.6077673043264769,2.7893856664536676,1.1122125362228068,6.1833968593210535,5.559546092081045,0.8090909090909091,0.7922077922077921,0.8363636363636364,,0.018,ok
binary_acl_vs_ha,pca_slim_subject,nca,3,63,16,264,160,0.021582537228656343,17.699314851288655,0.026632281572828116,0.1162604587858613,0.6295968754668753,5.415399887820174,0.38181818181818183,0.36507936507936506,0.39999999999999997,,0.026,ok
binary_acl_vs_ha,pca_slim_subject,nca,4,63,16,264,160,0.04891917912601794,2.2655576505430415,1.7993400634392744,0.8674647244631639,5.490034305013275,6.3288271559524425,0.6727272727272727,0.6190476190476191,0.5454545454545454,,0.035,ok
binary_acl_vs_ha,pca_slim_subject,nca,5,64,15,264,160,0.22176690088994636,1.2865743556453746,5.4376568239585215,1.5356404190597246,8.048509321865675,5.241141885802792,0.8,0.784688995215311,0.92,,0.043,ok
binary_acl_vs_ha,pca_slim_subject,rf_proba,1,63,16,264,160,0.16329432952036405,1.8076975315361612,3.2489794457732786,1.1857415642663074,0.21130586550669986,0.17820566628905182,0.7545454545454545,0.7681159420289855,0.709090909090909,,0.173,ok
binary_acl_vs_ha,pca_slim_subject,rf_proba,2,63,16,264,160,0.30920381202997216,0.9645003431217348,7.291452407520202,2.0061484673836074,0.2059976842265738,0.10268317005233082,0.6,0.5897435897435898,0.8363636363636364,,0.34,ok
binary_acl_vs_ha,pca_slim_subject,rf_proba,3,63,16,264,160,0.2632752352304035,0.8951596145466673,8.866461337519892,2.153593076404079,0.3027151616940588,0.14056284123995777,0.8090909090909091,0.7922077922077921,0.9272727272727274,,0.511,ok
binary_acl_vs_ha,pca_slim_subject,rf_proba,4,63,16,264,160,0.13982501749659562,1.267055980166142,5.6799261969079335,1.5708309350352003,0.2151176341056807,0.13694512204195938,0.8,0.8333333333333333,0.8363636363636364,,0.692,ok
binary_acl_vs_ha,pca_slim_subject,rf_proba,5,64,15,264,160,0.23175391715492072,0.9318670474678358,9.657029621472914,2.103789291763796,0.20609972109746638,0.09796595215325696,0.6,0.5833333333333334,0.9,,0.862,ok
binary_acl_vs_ha,pca_raw_subject,pca,1,62,16,8256,160,0.6884761087257276,0.4006315723803005,46.46728582165517,4.777502898737565,21.852651170310946,4.57407386944452,0.9545454545454546,0.9307359307359306,1.0,,0.031,ok
binary_acl_vs_ha,pca_raw_subject,pca,2,62,16,8256,160,0.454556468542325,0.944716941671745,13.937602002374097,2.473813854065266,15.374194745298011,6.214774292751777,0.8,0.8333333333333333,0.9636363636363637,,0.058,ok
binary_acl_vs_ha,pca_raw_subject,pca,3,62,16,8256,160,0.35384194433469207,1.1691098415789554,9.4390440842756,2.0337494646542265,12.652222218954012,6.221131185942372,0.7,0.7257142857142858,0.8909090909090909,,0.085,ok
binary_acl_vs_ha,pca_raw_subject,pca,4,63,15,8256,160,0.4769321469410853,0.8265003516078473,17.071070205577232,2.886425919865319,16.319950231483872,5.654033979935076,0.8,0.8295454545454546,0.9800000000000001,,0.114,ok
binary_acl_vs_ha,pca_raw_subject,pca,5,63,15,8256,160,0.584548471289125,0.6107996076450928,27.149842485673542,3.7642530399008884,19.456784380046965,5.168830090274499,0.9,0.9206349206349206,0.9800000000000001,,0.142,ok
binary_acl_vs_ha,pca_raw_subject,lda,1,62,16,8256,160,0.37669614285231634,1.8245254025496975,2.4727857368023227,1.5032719551433977,18.034277991035633,11.996683586979668,0.7545454545454545,0.7681159420289855,0.6545454545454545,,0.027,ok
binary_acl_vs_ha,pca_raw_subject,lda,2,62,16,8256,160,-0.027397984919391986,1.9892648122385779,1.9665652075412918,1.0151268433889133,9.835678199875643,9.689112512324154,0.6272727272727273,0.5607843137254902,0.6909090909090909,,0.055,ok
binary_acl_vs_ha,pca_raw_subject,lda,3,62,16,8256,160,0.22993785959791746,0.801232149012341,6.964577332441912,2.0165747527177382,20.049435825950525,9.942322147458157,0.7545454545454545,0.7681159420289855,0.9272727272727272,,0.082,ok
binary_acl_vs_ha,pca_raw_subject,lda,4,63,15,8256,160,0.01867830477529641,1.767510821357106,2.526483273929316,1.189868371671935,15.517461472442925,13.041326117979484,0.44999999999999996,0.4,0.66,,0.11,ok
binary_acl_vs_ha,pca_raw_subject,lda,5,63,15,8256,160,0.2199898915903001,1.059145918003816,7.817607453247303,1.9060234192245937,58.93439915954538,30.920081340617003,0.75,0.7222222222222222,0.84,,0.137,ok
binary_acl_vs_ha,pca_raw_subject,plsda,1,62,16,8256,160,0.6849366224194446,0.4087621762859169,46.001777943161905,4.704989198216707,21.041145948887774,4.472092296590781,0.9545454545454546,0.9307359307359306,1.0,,0.027,ok
binary_acl_vs_ha,pca_raw_subject,plsda,2,62,16,8256,160,0.4865525322447781,0.8692591022718426,15.935544208942977,2.7489811300076643,15.208127817676884,5.532277996260557,0.8,0.8333333333333333,0.9818181818181819,,0.053,ok
binary_acl_vs_ha,pca_raw_subject,plsda,3,62,16,8256,160,0.3632950905736808,1.1258767296482166,10.133607084694091,2.110474646206965,12.957311531022913,6.139524847792106,0.7,0.7257142857142858,0.9090909090909091,,0.08,ok
binary_acl_vs_ha,pca_raw_subject,plsda,4,63,15,8256,160,0.48237892789725234,0.812246988063535,17.7102880755705,2.9538905810376184,16.102542150920385,5.45129946731609,0.8,0.8295454545454546,0.9800000000000001,,0.107,ok
binary_acl_vs_ha,pca_raw_subject,plsda,5,63,15,8256,160,0.5868270673540031,0.6011127095915368,27.722132446151576,3.7984412313811684,19.344850526916822,5.0928392328667815,0.9,0.9206349206349206,1.0,,0.134,ok
binary_acl_vs_ha,pca_raw_subject,nca,1,62,16,8256,160,0.6266945757950079,0.4859985790123398,29.261751140198786,4.144922878619067,29.99072609174034,7.235532956823584,0.9545454545454546,0.9307359307359306,1.0,,0.029,ok
binary_acl_vs_ha,pca_raw_subject,nca,2,62,16,8256,160,0.4775111090083872,0.8765403195711686,15.18049469272176,2.6750978544664226,16.488801651886106,6.1638125216077295,0.9,0.9227053140096618,0.9818181818181819,,0.057,ok
binary_acl_vs_ha,pca_raw_subject,nca,3,62,16,8256,160,0.4460777448567741,0.82790943922152,18.455638050247835,2.7777093264282615,26.03289161528275,9.372071932651549,0.7,0.7257142857142858,0.9818181818181819,,0.088,ok
binary_acl_vs_ha,pca_raw_subject,nca,4,63,15,8256,160,0.4882088037081743,0.8231545499323869,16.523726745985524,2.977493417144378,17.464867691824892,5.865627642117478,0.8,0.8295454545454546,1.0,,0.117,ok
binary_acl_vs_ha,pca_raw_subject,nca,5,63,15,8256,160,0.46647946126600975,0.7153980650349063,18.921897933249834,3.0406753419603696,28.298765299836912,9.306736865104536,0.8500000000000001,0.8500000000000001,0.9800000000000001,,0.147,ok
binary_acl_vs_ha,pca_raw_subject,rf_proba,1,62,16,8256,160,0.40351320057275347,0.8721796312264809,15.00348762404212,2.455443926752976,0.7662559658031081,0.31206412716432413,0.8090909090909091,0.7922077922077921,0.9090909090909091,,0.193,ok
binary_acl_vs_ha,pca_raw_subject,rf_proba,2,62,16,8256,160,0.49100792028630963,0.5333526391775223,24.839300098482905,3.515830478024004,0.8543092155534014,0.2429893081857426,0.9090909090909092,0.8666666666666667,0.9636363636363636,,0.391,ok
binary_acl_vs_ha,pca_raw_subject,rf_proba,3,62,16,8256,160,0.6536159294357786,0.5600335696118398,29.63098156103245,4.946237544096664,0.8388464213407117,0.1695928296735112,0.8,0.8333333333333333,0.9818181818181818,,0.591,ok
binary_acl_vs_ha,pca_raw_subject,rf_proba,4,63,15,8256,160,0.6897412328473517,0.3456759858510444,49.75033118150121,5.5083509844715834,1.0025063698351357,0.18199754748041103,0.95,0.9282296650717703,1.0,,0.787,ok
binary_acl_vs_ha,pca_raw_subject,rf_proba,5,63,15,8256,160,0.6679153708832251,0.5310693602305918,31.871382943943917,4.763619254523292,0.9424711119743442,0.1978476997462426,0.9,0.9206349206349206,0.9600000000000001,,0.984,ok
binary_acl_vs_ha,pca_cycle_subject,pca,1,63,16,10908,160,-0.08695269339708811,3.476764025946979,0.5945317660524143,0.5097218817721966,4.633641850757603,9.090529593603865,0.5181818181818182,0.5151515151515151,0.6363636363636364,,0.042,ok
binary_acl_vs_ha,pca_cycle_subject,pca,2,63,16,10908,160,0.04153990579207102,2.3233808026539133,1.7585500750105747,0.8668677470989155,6.419181542768103,7.4050298494213465,0.6636363636363636,0.6536796536796536,0.7636363636363637,,0.083,ok
binary_acl_vs_ha,pca_cycle_subject,pca,3,63,16,10908,160,-0.006070055735512787,2.4296593064469008,1.483569539941758,0.8163075656167259,6.605374029116231,8.091771174662366,0.6636363636363636,0.6536796536796536,0.6909090909090909,,0.123,ok
binary_acl_vs_ha,pca_cycle_subject,pca,4,63,16,10908,160,0.23984035684886895,1.2993336533736748,5.243686703401425,1.517185336841834,8.546533633370364,5.633150694140499,0.9545454545454546,0.9307359307359306,1.0,,0.163,ok
binary_acl_vs_ha,pca_cycle_subject,pca,5,64,15,10908,160,0.08060289575221319,2.022371235680493,2.3072139325845433,0.9825023502283073,6.834058346534441,6.955767937803292,0.8,0.784688995215311,0.78,,0.206,ok
binary_acl_vs_ha,pca_cycle_subject,lda,1,63,16,10908,160,-0.16008781362860935,8.062159638478672,0.09272522675871447,0.23577659799891112,0.8608276698925676,3.651031006463768,0.4818181818181818,0.43529411764705883,0.5,,0.041,ok
binary_acl_vs_ha,pca_cycle_subject,lda,2,63,16,10908,160,0.06284888555426241,3.381814571951521,0.8427210669146514,0.6459363618262866,4.603703836622012,7.127178633520091,0.6636363636363636,0.6536796536796536,0.5818181818181818,,0.081,ok
binary_acl_vs_ha,pca_cycle_subject,lda,3,63,16,10908,160,0.08407842237059099,1.0899629483225595,4.959263188239692,1.70987764194708,5.584645213266825,3.2661080981838273,0.7090909090909091,0.7090909090909091,0.8545454545454545,,0.121,ok
binary_acl_vs_ha,pca_cycle_subject,lda,4,63,16,10908,160,0.039805858166204355,1.4397127499017115,4.132379567170797,1.2828721898016702,5.689966471271996,4.4353338676331076,0.6181818181818182,0.6,0.7363636363636363,,0.162,ok
binary_acl_vs_ha,pca_cycle_subject,lda,5,64,15,10908,160,0.525935338162588,1.0691443009881096,7.49229889143239,2.1451302699850494,8.827501928149973,4.115135594171396,0.8500000000000001,0.8500000000000001,0.8500000000000001,,0.202,ok
binary_acl_vs_ha,pca_cycle_subject,plsda,1,63,16,10908,160,-0.07572562751011293,2.5539918422446144,1.0747018167707438,0.6906328276066213,5.994808206727266,8.680166894907375,0.5181818181818182,0.5151515151515151,0.6545454545454545,,0.04,ok
binary_acl_vs_ha,pca_cycle_subject,plsda,2,63,16,10908,160,0.06460461471735582,2.1969689644953356,1.891675031083347,0.9312418381650038,6.115450244184558,6.566983992294578,0.6636363636363636,0.6536796536796536,0.7636363636363636,,0.08,ok
binary_acl_vs_ha,pca_cycle_subject,plsda,3,63,16,10908,160,-0.0234484394285127,1.9913700448795635,1.9443834654067047,0.9703502719001084,7.1236114119708,7.341278318005287,0.6181818181818182,0.6,0.7090909090909091,,0.12,ok
binary_acl_vs_ha,pca_cycle_subject,plsda,4,63,16,10908,160,0.3854395148181984,0.8662645529503918,12.005972789175395,2.310845912041286,8.569975568994142,3.708588064802578,0.9545454545454546,0.9307359307359306,1.0,,0.16,ok
binary_acl_vs_ha,pca_cycle_subject,plsda,5,64,15,10908,160,0.21250191719633912,1.909261417396197,2.756184679736007,1.1085845054502201,6.748677113367475,6.087652389320281,0.8,0.784688995215311,0.8400000000000001,,0.2,ok
binary_acl_vs_ha,pca_cycle_subject,nca,1,63,16,10908,160,-0.09820120004128732,3.1497009997431977,0.7166114877536538,0.5660831128751489,5.692973844397687,10.056780912405149,0.5181818181818182,0.5151515151515151,0.6363636363636364,,0.042,ok
binary_acl_vs_ha,pca_cycle_subject,nca,2,63,16,10908,160,0.07498459517069443,2.477750004131902,1.5891954633472702,0.8216039276056012,7.29020831539788,8.873141997560456,0.6636363636363636,0.6536796536796536,0.7818181818181819,,0.084,ok
binary_acl_vs_ha,pca_cycle_subject,nca,3,63,16,10908,160,-0.06052806242757012,2.627840033461823,1.1083119723043249,0.7289958683758001,7.371931004022762,10.11244552105267,0.5272727272727272,0.4920634920634921,0.6909090909090909,,0.127,ok
binary_acl_vs_ha,pca_cycle_subject,nca,4,63,16,10908,160,0.15952904423057146,1.6665925221985984,3.0751613412289402,1.198589012379236,10.902971991862527,9.096505874202695,0.7636363636363637,0.7333333333333334,0.9454545454545455,,0.17,ok
binary_acl_vs_ha,pca_cycle_subject,nca,5,64,15,10908,160,0.13665036675343817,2.7940602871037368,1.1486585461573284,0.7473259813900159,8.58430389211969,11.486692696208694,0.7,0.660633484162896,0.8,,0.214,ok
binary_acl_vs_ha,pca_cycle_subject,rf_proba,1,63,16,10908,160,-0.004250945638455992,2.914321187345191,0.961567253442306,0.6285998345917843,0.16552020928624106,0.26331570607830446,0.5181818181818182,0.5151515151515151,0.6363636363636364,,0.214,ok
binary_acl_vs_ha,pca_cycle_subject,rf_proba,2,63,16,10908,160,0.18720579606684673,1.4242857561324458,4.200245991364098,1.4632881325743234,0.3168169509685726,0.21651029890552387,0.6545454545454545,0.6666666666666667,0.8,,0.425,ok
binary_acl_vs_ha,pca_cycle_subject,rf_proba,3,63,16,10908,160,0.10736220754550665,1.6238278936653319,4.020462670416911,1.2526867682074265,0.3227280910700015,0.2576287219284833,0.6636363636363636,0.6536796536796536,0.7818181818181817,,0.623,ok
binary_acl_vs_ha,pca_cycle_subject,rf_proba,4,63,16,10908,160,0.6728098756858529,0.3960921293806274,50.64371946672434,5.801377079409705,0.4782943374710453,0.08244496624234468,0.8,0.8333333333333333,1.0,,0.838,ok
binary_acl_vs_ha,pca_cycle_subject,rf_proba,5,64,15,10908,160,0.22313837092381406,1.3486886473143087,5.228310645200723,1.523421688588401,0.41400548085743355,0.27176026438290374,0.75,0.7619047619047619,0.8300000000000001,,1.052,ok
binary_acl_vs_ha,fusion_scalar_cycle,pca,1,63,16,11772,160,-0.07026914222547723,2.2864146556520435,1.117108576542033,0.7876030920696032,4.78188262022991,6.071437083448268,0.4181818181818182,0.4181818181818182,0.7090909090909091,,0.047,ok
binary_acl_vs_ha,fusion_scalar_cycle,pca,2,63,16,11772,160,0.02525904352149592,2.913038689150545,1.1942634061438238,0.7120838963423683,5.837512537628158,8.197787602855009,0.6636363636363636,0.6536796536796536,0.6181818181818182,,0.091,ok
binary_acl_vs_ha,fusion_scalar_cycle,pca,3,63,16,11772,160,-0.05180156873793099,1.974864799553008,1.7082800204781263,0.9199712899901797,5.881157784482735,6.39276230516445,0.6090909090909091,0.6135265700483092,0.7090909090909091,,0.135,ok
binary_acl_vs_ha,fusion_scalar_cycle,pca,4,63,16,11772,160,0.1626763550563438,1.1914075606090768,4.497762468521005,1.414755458256495,8.373092028584804,5.918402349833355,0.9090909090909092,0.8666666666666667,0.9090909090909092,,0.179,ok
binary_acl_vs_ha,fusion_scalar_cycle,pca,5,64,15,11772,160,0.18441959704844085,1.174751593973212,4.256709113612418,1.4417152998130922,6.932257528762408,4.808340127666762,0.85,0.7963800904977376,0.92,,0.224,ok
binary_acl_vs_ha,fusion_scalar_cycle,lda,1,63,16,11772,160,0.01204122735138689,9.925783144648637,0.11113989212719001,0.2193097713992307,0.816428318583747,3.7227174757185075,0.5636363636363637,0.5636363636363637,0.5272727272727272,,0.044,ok
binary_acl_vs_ha,fusion_scalar_cycle,lda,2,63,16,11772,160,-0.11596876968182036,3.0864768619614726,0.5764540397150552,0.5622485413665541,2.9941142223611017,5.325250315605727,0.36363636363636365,0.3333333333333333,0.44545454545454544,,0.089,ok
