task,feature_set,method,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std,centroid_ratio_mean,centroid_ratio_std,mean_centroid_distance_mean,mean_centroid_distance_std,mean_within_scatter_mean,mean_within_scatter_std,nearest_centroid_balanced_accuracy_mean,nearest_centroid_balanced_accuracy_std,nearest_centroid_macro_f1_mean,nearest_centroid_macro_f1_std,binary_auc_mean,binary_auc_std,auc_ovr_3class_mean,auc_ovr_3class_std,selected_features_mean,selected_features_std
binary_acl_vs_ha,pca_slim_subject,lda,0.14683224009757045,0.17702558529230933,1.3078007683100341,0.7334190727408899,6.499816515617518,5.05231716737318,1.7199849801694675,0.6723962948304621,2.3726424178262038,1.0129119736231136,1.4104436191413128,0.33153592222393236,0.7416666666666667,0.1274754878398196,0.7301921470342523,0.1329802566974371,0.8146666666666667,0.1378727271395213,,,160.0,0.0
binary_acl_vs_ha,scalar_pivot,lda,0.14173189493738853,0.11842154879714312,1.5872146960154512,0.7428390035037196,4.4216820233753396,3.773072826114255,1.435600584762044,0.592292878507339,2.941649261281512,1.6885657069103963,2.0058562316031003,0.6492699059953486,0.7433333333333334,0.1282088140495809,0.7377777777777779,0.1284493222833882,0.784,0.1344618905117729,,,160.0,0.0
binary_acl_vs_ha,scalar_pivot,pca,0.12465114721987143,0.11304428779228005,1.5097671471702854,0.4486710385994263,5.0192156298547435,3.0033641046961836,1.3945857327500981,0.46443755021088057,5.362813797828224,1.6220018099132698,4.029346094116378,1.3491941662380071,0.7433333333333334,0.10839741694339403,0.7163875340345929,0.09484861918923171,0.8640000000000001,0.07495924818785797,,,160.0,0.0
binary_acl_vs_ha,fusion_scalar_raw,lda,0.1226343053787323,0.13271548836695263,2.063496843219736,1.9428459313712807,3.999166679989416,2.953840112717197,1.4362792364594044,0.7829248062076356,15.191715900783132,6.050779068825304,12.27424247090995,4.052605853887963,0.7084848484848485,0.15478516762771247,0.6953738074790706,0.15417964142823734,0.7857878787878787,0.11963358505876545,,,160.0,0.0
binary_acl_vs_ha,pca_raw_subject,lda,0.1201447555484775,0.11751012399752989,2.886499245865232,3.4433498965631393,4.2040118721632815,3.268675173913934,1.3088855281422913,0.7093456296082629,21.01922148034625,13.515059934618533,17.43288971583619,9.281457124548645,0.6975757575757576,0.12564617190441277,0.6934306921149027,0.12839508070000857,0.7256666666666667,0.14128183023855387,,,160.0,0.0
binary_acl_vs_ha,pca_cycle_subject,rf_proba,0.10308888311820308,0.22873755810065013,2.3726112784400577,0.8522948312138603,2.9915662400293916,3.8589438430926766,1.0696691656648287,0.7636976886150564,0.21917377827961051,0.10665045238647386,0.22378852097498703,0.049188097367319654,0.6316666666666666,0.2116732282447536,0.6180066991831697,0.2282730119400209,0.6413333333333334,0.160858806272941,,,160.0,0.0
binary_acl_vs_ha,pca_cycle_subject,nca,0.1015130848829026,0.10475737899186283,14.227065409588416,26.519557765227635,1.9580579510856175,1.7797786069916053,0.8067051567364576,0.5556376269783186,6.575569912160944,4.644749719268686,8.035566927630523,1.254796086908326,0.5916666666666667,0.18008485654145262,0.5512985279404043,0.1918994345817508,0.6086666666666667,0.17819465012545507,,,160.0,0.0
binary_acl_vs_ha,fusion_scalar_cycle,nca,0.08342208522321,0.08406688992663262,2.3587390666768884,1.179731137284837,2.3581996334527155,1.1144570424662084,0.9783697156412577,0.3077391068729169,7.748128310334224,3.0239198503903584,7.758353084351375,1.0193563200102629,0.6366666666666667,0.1440486029088794,0.6055555555555555,0.15209443135559808,0.6300000000000001,0.17941262187730525,,,160.0,0.0
binary_acl_vs_ha,fusion_scalar_cycle,pca,0.07444245435654866,0.07566612368001718,2.1063450231658623,0.5409141034950792,2.411491366563048,1.0045943662076742,1.000729572277596,0.23986945808192736,6.380036588853391,1.7660799288980331,6.337815917401757,0.45647226035028093,0.665,0.09902300518341967,0.6344481524667283,0.11634092930689624,0.6306666666666667,0.1654354523337996,,,160.0,0.0
binary_acl_vs_ha,pca_slim_subject,nca,0.06964276755060084,0.1390230294128824,2.3303605457682055,1.30437993633552,2.939048715865604,2.5113998851062287,1.0483198478188558,0.499067557468977,4.165363674411095,1.5032097344014574,4.350119278968548,1.38956486534229,0.5433333333333333,0.2673428925971704,0.5312685805093935,0.25692435384808354,0.5546666666666666,0.30395175055700313,,,160.0,0.0
binary_acl_vs_ha,fusion_scalar_cycle,plsda,0.06888877026426507,0.13790416101883718,2.0357549892668763,0.802580677067649,2.8298870161714063,1.8537016612175563,1.073682626240475,0.3960304765490867,5.821444143821195,2.7378856414660286,5.2440365433551905,0.8488420907013712,0.6933333333333334,0.13062350477613136,0.6634005334191093,0.15223030791089323,0.6653333333333333,0.16402235619979777,,,160.0,0.0
binary_acl_vs_ha,pca_cycle_subject,pca,0.063350575212174,0.08173734150206034,2.286002619571634,0.6029282038684173,2.07243312477141,1.1053855972521265,0.9278641204614321,0.25651156989345114,6.169597251754964,1.8547720159024161,6.629444734702076,0.5250134779922649,0.5883333333333333,0.19271452692749677,0.5548733103841463,0.19620392346849336,0.6053333333333333,0.21297626367482572,,,160.0,0.0
binary_acl_vs_ha,pca_cycle_subject,plsda,0.0339163044591713,0.12724782823035208,2.0531273148474622,0.4754737752611125,2.0806832914617974,0.9033329550206772,0.9791457341935385,0.2381497284643745,5.599486833319392,1.6199573890684507,5.7559504241789465,1.0815884021345623,0.5966666666666667,0.22527760652137618,0.5716047694995063,0.2204494285645478,0.626,0.20391174561559713,,,160.0,0.0
binary_acl_vs_ha,pca_slim_subject,pca,0.021259205589176107,0.12280065267917113,4.243498643485127,2.4305478388573443,0.766710083529295,0.6567234205688917,0.5680020848333948,0.2375343610413465,1.8273729453759777,1.2063364970448505,3.182661570381719,1.9097643363486547,0.48,0.125637264464896,0.4273451256345993,0.1677565325332607,0.39666666666666667,0.22671568097509265,,,160.0,0.0
binary_acl_vs_ha,pca_cycle_subject,lda,-0.018877981440236925,0.07976673193935148,38.22016474314446,57.60538032184997,1.7433325340625512,2.34113281967746,0.7262483956904029,0.7534562141526631,2.953147347151386,3.1205709528003864,4.800945165583508,2.5915244811169296,0.585,0.17082317042941092,0.5553081232492997,0.18179166774265218,0.621,0.1808452377034021,,,160.0,0.0
multiclass_3group,scalar_pivot,rf_proba,0.15105491528836504,0.1076737041236912,1.4205390359507202,0.32149538013471585,11.731035875108219,6.135504373115559,2.453403595595751,0.7129699993808045,0.3261347603919534,0.046767405493576227,0.13911268777474245,0.028666497110217227,0.7222222222222223,0.0955813918560292,0.7203607503607504,0.10145964864634517,,,0.8736565656565656,0.05092684474781214,160.0,0.0
multiclass_3group,fusion_all_common,rf_proba,0.1421493541906905,0.09210752649201145,4.6392556604140625,4.484613235845883,12.365081840283528,7.797908996049316,2.477080875346901,0.7782477609464198,0.5276614843290779,0.09128271542572061,0.2203094767800125,0.039846727774699185,0.6466666666666667,0.08620962107231481,0.6344710844710846,0.11009360846152982,,,0.8490101010101011,0.03945258519958766,160.0,0.0
multiclass_3group,fusion_scalar_raw,rf_proba,0.140840586390263,0.09256451981854338,5.5438811889599915,6.492603192612493,12.316652070778554,7.824014098202411,2.464310556671063,0.7861232951152227,0.5255475464305457,0.09039093161555443,0.2209329663415546,0.04074990806735811,0.6466666666666667,0.08620962107231481,0.6344710844710846,0.11009360846152982,,,0.8480000000000001,0.0403324112546286,160.0,0.0
multiclass_3group,pca_raw_subject,rf_proba,0.13361844068496104,0.12675829766165017,3.326851569922263,2.2700767527209442,12.897682775890235,11.739230338597123,2.4583725664048415,1.0530512453919372,0.5368079714106497,0.10824499795230137,0.23182028380675762,0.04718047027825653,0.6488888888888888,0.1355373393953503,0.6310800310800311,0.15343487477065573,,,0.8387272727272727,0.06882130337908489,160.0,0.0
multiclass_3group,fusion_all_common,plsda,0.08237995652763952,0.13852012601440067,2.731763440576912,1.3669645334500495,15.085746408068434,13.173920041670737,2.7052620618986483,1.2751728703665137,11.609541651419901,3.861995560938029,4.563765610466297,0.8867153723999298,0.6155555555555556,0.11642832797715323,0.6096821696821697,0.11996911049916063,,,0.8052121212121213,0.10422709541981418,160.0,0.0
multiclass_3group,fusion_scalar_raw,plsda,0.08192688990941066,0.13785990690687144,2.7202566719297363,1.3484012639189813,15.128258318612675,13.259997082121497,2.7054132122428056,1.2754207224557883,11.617721255696392,3.8731244028725142,4.5655090617948595,0.8843759314746659,0.6155555555555556,0.11642832797715323,0.6096821696821697,0.11996911049916063,,,0.8062222222222223,0.10477434563729852,160.0,0.0
multiclass_3group,pca_raw_subject,plsda,0.07775935767257332,0.13416345600914287,2.7862755367803844,1.3694848825098178,15.171799057792324,13.740469485650257,2.697569369250963,1.3065812075965946,11.660885695625955,4.0001178104213055,4.610441628880851,0.9179146057347691,0.6177777777777778,0.12804320258567056,0.6125189625189625,0.1344332748537595,,,0.7964848484848485,0.09435474593144622,160.0,0.0
multiclass_3group,fusion_scalar_raw,pca,0.07649333571115076,0.12845998527224148,4.2994826912982465,3.323955468654347,11.673177709145534,8.211193215525771,2.3750005262864278,0.9929489117507306,11.68801605669618,4.245181866306772,5.063265249860875,0.6686199893633559,0.5800000000000001,0.1725623880739305,0.5793221593221594,0.16621680584162876,,,0.7830505050505051,0.1123373655812896,160.0,0.0
multiclass_3group,fusion_all_common,pca,0.0764694621761866,0.12842768119059877,4.3518478030116,3.3625954891135197,11.621101423472776,8.12011531167377,2.371669881430948,0.9886793792173689,11.676977290253927,4.2294981732700405,5.064791726538827,0.6680595375640634,0.5800000000000001,0.1725623880739305,0.5793221593221594,0.16621680584162876,,,0.7830505050505051,0.1123373655812896,160.0,0.0
multiclass_3group,pca_raw_subject,pca,0.07520617820315408,0.12769743565610708,4.241512267094754,3.24397620191077,11.886021372695586,8.800474867517112,2.3908755045373438,1.032604852688627,11.736904489121896,4.3662630075115,5.0659578072866225,0.7112250609483934,0.5933333333333334,0.19493588689617927,0.5932615532615533,0.19015988006421877,,,0.7811313131313131,0.11278252510737174,160.0,0.0
multiclass_3group,scalar_pivot,plsda,-0.013804690447251106,0.1722226979786001,2.4915451063728904,1.4096748346994117,3.4454552641714153,2.6825879934958845,1.3642987515444922,0.44124922503881747,14.447624155308205,21.866243636302503,12.060736896285794,18.430158279451067,0.5844444444444444,0.05533288710217212,0.5532504532504532,0.07590803389285264,,,0.7992727272727272,0.05478149451793191,160.0,0.0
