feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__hip_adduction_005__max,0.0053503887667579915,0.019908230528841473,-0.007300659069836933,0.005585922314822925,0.007692635214904792,0.0003961418072459028,0.008368430313032799,0.011254653640973906,0.005059134362373111,0.018835206954049524
slow__hip_adduction_006__mean,0.004066966248610162,0.018342518346308335,-0.012381901017965515,0.006991838967560065,0.0014804324096471784,-0.0013680726826669838,0.013099084930724033,0.017891400526648643,-0.006264844110115775,0.011084016317486982
slow__hip_adduction_006__std,0.004928874041654346,0.014324901932069062,0.003037322048129347,-0.001156325773421841,0.008828702803322926,0.005361337966706167,-0.001155154262148104,-0.003042604196178543,0.019437910982065203,0.019546418583183473
slow__hip_adduction_006__min,-0.0026173667771661594,-0.007625428853064425,-0.01518026790104637,0.022532080744363015,-0.001487715744637507,-0.01004606598810174,0.008728397209404937,0.007255146448990223,-0.023213412946133265,-0.002830528804919207
slow__hip_adduction_006__max,0.005597188062518225,0.019769025433015,-0.008927969195429987,0.006507074759811893,0.0065856573407573,-7.858771293318278e-05,0.00892665878391493,0.011387028073657069,0.004271155770367551,0.016903989480520954
slow__hip_adduction_007__mean,0.004404278156279454,0.01840555177071036,-0.012903819536590875,0.006907680010557602,0.0005380075935738131,-0.0009084846348446637,0.013619859024406154,0.017679332792191266,-0.005794837400691598,0.00852628049419907
slow__hip_adduction_007__std,0.0051626396592827405,0.014508601405027763,0.0028764249716867946,-0.0008878542095680634,0.008325987493294646,0.005638865739174291,-0.001419133342172197,-0.002525221254189146,0.018744969504758447,0.019150487498773523
slow__hip_adduction_007__min,-0.0023760365064896404,-0.007240064761504393,-0.015646654651156874,0.02223270316143222,-0.002067756330095321,-0.009732752283152181,0.009490009149873295,0.007390040586201907,-0.02289422699872255,-0.003820659897711581
slow__hip_adduction_007__max,0.005968790181189816,0.019703123052142255,-0.010258106364705371,0.006937669396292017,0.005505928409762141,-0.00010547256802590153,0.009480416668065369,0.01159323050422464,0.003314529568685122,0.014866803197452254
slow__hip_adduction_008__mean,0.004696394096046194,0.01848615385160287,-0.013386137848327418,0.00666680008112571,-0.0005040387930215071,-0.00029146050382208475,0.014218620714974525,0.017288821520119364,-0.005441688802311854,0.005857822855379814
slow__hip_adduction_008__std,0.005483085743049586,0.014623432505179817,0.002658125598712147,-0.0007305978560097304,0.007966217807711116,0.00599683034260334,-0.0017553459718140842,-0.0021091233732043126,0.01802543154489677,0.018538668899189592
slow__hip_adduction_008__min,-0.0022333140438647284,-0.006821058688214296,-0.016138165904426998,0.021900828777045,-0.002720953945262007,-0.009188611481907333,0.01032684804429706,0.007630768110110393,-0.02245204191059687,-0.0048868560241988315
slow__hip_adduction_008__max,0.00626711570221024,0.01983035760438298,-0.011270700774403862,0.006893766878452647,0.004726099307228924,7.236766652065698e-05,0.009751304807489983,0.011750821819827052,0.0024984253455225722,0.012388606250844963
slow__hip_adduction_009__mean,0.0048848324517611775,0.01853516398140751,-0.013826726605427863,0.006218878541219799,-0.0015681400100241148,0.00032613568350227514,0.014937478062911624,0.01680012014857179,-0.005232691981992869,0.003128922835062683
slow__hip_adduction_009__std,0.005801257839017974,0.014716125700926154,0.0024642821641706345,-0.0006890627671410827,0.007659620186138212,0.006291538818466159,-0.002049077603830639,-0.001833982886560556,0.017404875037108705,0.017674441847781244
slow__hip_adduction_009__min,-0.0022119652272488987,-0.006360061896180447,-0.016563949959288452,0.02159309749862695,-0.0031511504388817063,-0.008619740195159604,0.011129545495896101,0.007801636861039285,-0.022029787792777523,-0.005987968477508977
slow__hip_adduction_009__max,0.006530998314971892,0.02010641329302083,-0.012003134146105567,0.006453703109506269,0.003936107924886828,7.164660733484126e-05,0.010281753056174818,0.01143720460177477,0.0017551649904281224,0.009966370265123634
slow__hip_adduction_010__mean,0.004914017020252701,0.018514163603253905,-0.014162585405973776,0.005609643119727134,-0.0025810356593549996,0.0008109388913598385,0.015725797039193842,0.016269785584625,-0.005119891587023188,0.00039930877362525356
slow__hip_adduction_010__std,0.006081951499171157,0.014822599012190655,0.0022732410831684284,-0.0007176670470915724,0.007318560240462325,0.006380316454805896,-0.0022727500716746073,-0.001641536331068719,0.01692809926060971,0.016649272720645515
slow__hip_adduction_010__min,-0.0023079981632839162,-0.005863860899266626,-0.016854553139838625,0.02126185447493009,-0.0032857263488341253,-0.008214928925921176,0.011939422255640682,0.007764655376115668,-0.021773250424073548,-0.007007315303660638
slow__hip_adduction_010__max,0.006705022287715839,0.020339649905772802,-0.012584810400357417,0.005827220973368674,0.0031502959156491568,4.2368972125851366e-05,0.01110342237344662,0.010937492314349156,0.0012317049393117576,0.007437039966064692
slow__hip_adduction_011__mean,0.0047805540072378295,0.01841210108528812,-0.014352182299622688,0.004934078683822814,-0.0035008157965701215,0.0010978019335741497,0.016488222133944085,0.01573156249411592,-0.004968146873152062,-0.0022745501657840802
slow__hip_adduction_011__std,0.006349030148967428,0.014965266104891583,0.001984700896558212,-0.0007714285976599715,0.0068727355455995695,0.006121679397921742,-0.002501328592698102,-0.0014821086904007717,0.016572749080562558,0.015455555185504777
slow__hip_adduction_011__min,-0.002457963823862773,-0.005401074026997804,-0.017003368792163284,0.02094612073318662,-0.003134466525367984,-0.00784160834197089,0.01274716273639025,0.007633896485409515,-0.02157257468091515,-0.007981704994405715
slow__hip_adduction_011__max,0.006761535819095406,0.02051580511711986,-0.013037597346277486,0.005156993215610428,0.0024285645620564533,-5.748028506155922e-05,0.011896002621252648,0.010281965765009927,0.0009232336653991125,0.004921524655479025
slow__hip_adduction_012__mean,0.004513880804954794,0.018254406748276473,-0.014386289155200155,0.004285316759263102,-0.0043216677049548345,0.0012196596419386477,0.017134164816084357,0.015188108436268576,-0.004654046724721462,-0.004844944863871979
slow__hip_adduction_012__std,0.006569810854685438,0.01514346153571398,0.0015304445186600187,-0.0008263952797829704,0.006239896192574126,0.005608499927265422,-0.0027622613763860133,-0.0013255115357655562,0.016318339966935685,0.014115949661474609
slow__hip_adduction_012__min,-0.0027008846366500298,-0.0049969675768462285,-0.01698439850271949,0.02073121811820451,-0.0030582223039588336,-0.007542068563001933,0.013388823922113682,0.00741917484886858,-0.021248118825819413,-0.008937501369561219
slow__hip_adduction_012__max,0.0066656719738412635,0.020572943658253795,-0.01343768275678315,0.0045627233401857314,0.0017023891065664216,-0.00046090745012186343,0.012534060554885288,0.009711692185522534,0.0008369775196590867,0.002364267015882924
slow__hip_adduction_013__mean,0.0041498456068974916,0.01808183325172152,-0.01427404528653906,0.003726143878439003,-0.005012488813468334,0.0012322372964468655,0.0176243076137374,0.014638130003523294,-0.004147557867831982,-0.0072397770882070825
slow__hip_adduction_013__std,0.00674326219391954,0.015344004176020465,0.0009720467244347295,-0.0008619731372555749,0.005324535652039518,0.005045322291349877,-0.0030195202968431095,-0.0011730891274586602,0.016135808135678484,0.012661776246278457
slow__hip_adduction_013__min,-0.003029109040125749,-0.004594720673443582,-0.01687375456726317,0.02043359772570603,-0.003111005244317294,-0.007160184090428092,0.01409943540962584,0.007167880300927021,-0.02086870475105682,-0.01004247111079086
slow__hip_adduction_013__max,0.006426419787003641,0.020730254850801336,-0.013573418219904501,0.003946557349674364,0.0009280678779008388,-0.0006624438163792507,0.012894063476782472,0.009266873807639334,0.00096063113647081,-0.00032032510361354027
slow__hip_adduction_014__mean,0.003746027444240696,0.01793813953896845,-0.014037131830337786,0.0032998252010372235,-0.005529039638126421,0.0012489957007255387,0.017933006411350105,0.014090004352184398,-0.0035372763038646763,-0.009360841652317582
slow__hip_adduction_014__std,0.006902967143268717,0.015528137942882313,0.0003544448294684829,-0.0008543645117011416,0.004084886919143741,0.004526652333486982,-0.0033235952308824893,-0.0009911113327323812,0.016051668967376854,0.011184274394513275
slow__hip_adduction_014__min,-0.00328970162473075,-0.004079587358269017,-0.016689418458081067,0.020120834782820105,-0.0029461437705127383,-0.0067034558844193326,0.014743793868279282,0.006883016913995525,-0.020510526839780427,-0.01117668687769136
slow__hip_adduction_014__max,0.0060150128154776595,0.020872995732741026,-0.01370200345334134,0.0034427205671298065,0.00013235602590344823,-0.0006150922737054975,0.012930752147636872,0.008823154743481899,0.0012990366161582628,-0.003048852627007306
slow__hip_adduction_015__mean,0.003348848794896249,0.01783515707736581,-0.013730213175662353,0.0029920963430300524,-0.005868192631710203,0.0013658698061963486,0.018055666028753387,0.01355253650173617,-0.0029221990124487086,-0.01117947152864534
slow__hip_adduction_015__std,0.007080977218223511,0.01569602057925557,-0.00030984074933178236,-0.0007154729213149052,0.0026872973836477372,0.003997088438333078,-0.0038285857269829845,-0.00072533446691415,0.016034767260429544,0.009781727644409132
slow__hip_adduction_015__min,-0.0034042776945947995,-0.0035059460912701423,-0.016526512398381994,0.019732064587873015,-0.002830404116849824,-0.0061338882441637635,0.015350029936216345,0.006602839692469408,-0.020054490066330456,-0.012313339002048826
slow__hip_adduction_015__max,0.005555764324296939,0.020931811751687013,-0.013828028355449006,0.0030533381217186426,-0.0007518327869822168,-0.0005108083144113568,0.012761050922630322,0.008461010106706501,0.0018127524581618266,-0.005403542803913416
slow__hip_adduction_016__mean,0.0029873055956172725,0.01775505603931458,-0.013404421582878613,0.0027396819880274943,-0.006085878954078946,0.0016903960696757051,0.01802889966807495,0.01302352804000506,-0.0023678914526519784,-0.012756012130225603
slow__hip_adduction_016__std,0.007296628221394417,0.015849533971277852,-0.0009716769324022061,-0.0003650490193338929,0.0013840344431489508,0.0034468779097492582,-0.004622888936868029,-0.00038480979243554785,0.01603507098760493,0.0084893492933282
