feature_raw,feature_description,speed,side,statistic,source_column,feature_category,cycle_point,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
slow__jointAngle_60__std,Left ankle adduction,slow,Left,std,jointAngle_60,joint angle,,0.041620610781645966,0.021370915975617383,0.061412189988099865,0.04300465657524584,0.06374551414943312,0.002797784592995897,-0.12050940430791526,0.08791922853059136,-0.13356978492458932,-0.08151843639351415
slow__jointAngle_60__min,Left ankle adduction,slow,Left,min,jointAngle_60,joint angle,,-0.04878002986462061,-0.012178651418136855,-0.0076521511886421915,-0.05935757464546069,0.019629237086986797,0.028521169490100924,0.13290366025819467,0.02187226353463945,0.16433517244150184,-0.022808184173585665
slow__jointAngle_60__max,Left ankle adduction,slow,Left,max,jointAngle_60,joint angle,,0.06868646680928533,-0.022173684379827516,0.07343967171769028,-0.006121661171344082,0.1564911886117534,0.012243033468237179,-0.008065560289523708,0.08649699152389491,0.03334221971059578,-0.06562239722217947
slow__jointAngle_61__mean,Left ankle internal rotation,slow,Left,mean,jointAngle_61,joint angle,,0.060209241455519966,0.0005039749260231082,0.023907882462319865,-0.07913805332189815,-0.08172917517477965,0.05580404925746701,0.044421230789108215,0.00813351121859895,0.0005569643413801297,0.14425264935615018
slow__jointAngle_61__std,Left ankle internal rotation,slow,Left,std,jointAngle_61,joint angle,,0.11118492317141201,0.033046543569383746,0.0795941415462631,-0.040916909045879496,-0.028926698463908874,-0.016891012780682717,-0.08248795943694252,-0.012173834181120278,-0.017245584116207528,0.034191550614718555
slow__jointAngle_61__min,Left ankle internal rotation,slow,Left,min,jointAngle_61,joint angle,,-0.1540157652203148,-0.020854943781869608,0.03916860105470715,0.0021884117679053247,-0.041215353168875646,0.0190989964345323,0.047771459121106655,0.005467412371868411,0.0022315855463443408,0.02951388242084827
slow__jointAngle_61__max,Left ankle internal rotation,slow,Left,max,jointAngle_61,joint angle,,0.15608265051131526,0.02743796661230587,-0.0054154255865081526,-0.04521268000770243,-0.009041964888709432,-0.00308460009713386,-0.0266525898808474,-0.0009931217975104503,-0.0044780131752263745,0.03476018191259095
slow__jointAngle_62__mean,Left ankle dorsiflexion,slow,Left,mean,jointAngle_62,joint angle,,0.014352875452561588,0.07832486496056713,-0.0509711322421051,0.11873311796799937,-0.0003503093303096284,0.08061701015309627,0.05953732981786194,0.10323067872341456,-0.018371588457112047,-0.02561549650116582
slow__jointAngle_62__std,Left ankle dorsiflexion,slow,Left,std,jointAngle_62,joint angle,,0.021558311407357856,-0.015904962848870108,0.10203007879759356,-0.11892237249341141,-0.02622383077602102,0.008753954724406418,-0.0203309088332125,0.006556009712798672,-0.02995100131397283,-0.019714697144329017
slow__jointAngle_62__min,Left ankle dorsiflexion,slow,Left,min,jointAngle_62,joint angle,,0.000806570403748726,0.03569270302834082,-0.07746779499066812,0.13982817105707085,0.05670330969727438,0.01612569934412117,0.04423158357865511,0.025421607898990194,0.022661654059467257,0.011164225101939495
